SECURITY_ID,SYMBOL
532172,BSE:ADROITINFO-B
532173,BSE:CYBERTECH-B
532174,BSE:ICICIBANK-A
532175,BSE:CYIENT-A
532178,BSE:ENGINERSIN-A
532179,CORPN.BANK  
532180,BSE:DHANBANK-B
532181,BSE:GMDCLTD-A
532187,BSE:INDUSINDBK-A
532189,BSE:ITDC-B
532209,BSE:J&KBANK-A
532210,BSE:CUB-A
532212,BSE:ARCHIES-B
532215,BSE:AXISBANK-A
532216,BSE:HBSL-B
532218,BSE:SOUTHBANK-A
532219,BSE:ENERGYDEV-B
532221,BSE:SONATSOFTW-A
532234,BSE:NATIONALUM-A
532240,BSE:INDNIPPON-B
532254,POLARIS     
532256,BSE:NSIL-B
532259,BSE:APARINDS-A
532268,BSE:ACCELYA-B
532276,SYNDICATE BN
532281,BSE:HCLTECH-A
532282,CASTEXTECH  
532285,BSE:GEOJITFSL-B
532286,BSE:JINDALSTEL-A
532296,BSE:GLENMARK-A
532300,BSE:WOCKPHARMA-A
532301,TATA COFFEE 
532305,BSE:INDSWFTLAB-B
532309,BSE:GVPIL-T
532310,BSE:SHREERAMA-B
532313,BSE:MAHLIFE-A
532321,BSE:ZYDUSLIFE-A
532326,BSE:INTENTECH-B
532331,BSE:AJANTPHARM-A
532339,BSE:COMPUSOFT-B
532341,BSE:IZMO-T
532343,BSE:TVSMOTOR-A
532345,GATI LTD.   
532348,BSE:SUBEXLTD-B
532349,BSE:TCI-B
532351,BSE:AKSHOPTFBR-B
532356,BSE:TRIVENI-A
532357,BSE:MUKTAARTS-B
532365,BSE:DSSL-B
532366,BSE:PNBGILTS-B
532369,BSE:RAMCOIND-B
532370,BSE:RAMCOSYS-B
532371,BSE:TTML-A
532374,BSE:STLTECH-A
532375,BSE:TIPSMUSIC-A
532376,BSE:UMIYA-MRO-B
532382,BSE:BALAJITELE-B
532386,BSE:CALSOFT-B
532387,BSE:PNC-B
532388,BSE:IOB-A
532390,BSE:TAJGVK-B
532391,OPTO CIRCUIT
532392,BSE:CREATIVEYE-B
532395,BSE:AXISCADES-B
532400,BSE:BSOFT-A
532401,VIJAYA BANK 
532408,BSE:SIGMAADV-B
532413,BSE:CEREBRAINT-Z
532418,ANDHRA BANK 
532419,BSE:SMARTLINK-B
532424,BSE:GODREJCP-A
532430,BSE:BFUTILITIE-Z
532432,BSE:UNITDSPR-A
532440,BSE:MPSLTD-B
532443,BSE:CERA-A
532454,BSE:BHARTIARTL-A
532456,BSE:COMPINFO-Z
532457,BSE:GULPOLY-B
532460,BSE:PONNIERODE-B
532461,BSE:PNB-A
532466,BSE:OFSS-A
532475,BSE:APTECHT-B
532477,BSE:UNIONBANK-A
532478,BSE:UBL-A
532479,ISMT LTD    
532480,ALLAHABAD BK
532481,BSE:NOIDATOLL-B
532482,BSE:GRANULES-A
532483,BSE:CANBK-A
532486,BSE:POKARNA-B
532488,BSE:DIVISLAB-A
532493,BSE:ASTRAMICRO-A
532497,BSE:RADICO-A
532498,SHRMCITYUN  
532500,BSE:MARUTI-A
532504,BSE:NAVINFLUOR-A
532505,BSE:UCOBANK-A
532507,BSE:BAGFILMS-B
532508,BSE:JSL-A
532509,BSE:SUPRAJIT-B
532511,EXCEL CROP. 
532513,BSE:TVSELECT-B
532514,BSE:IGL-A
532515,BSE:TVTODAY-B
532522,BSE:PETRONET-A
532523,BSE:BIOCON-A
532524,BSE:PTC-A
532525,BSE:MAHABANK-A
532526,DISHMAN PHAR
